Sanskrit,English
 vi grāmyāḥ paśava āraṇyair vy āpas tṛṣṇayāsaran  vy ahaṃ sarveṇa pāpmanā vi yakṣmeṇa sam āyuṣā,tame beasts have parted from wild beasts water and thirst have gone apart i free etc
 vī me dyāvāpṛthivī ito vi panthāno diśaṃ diśam  vy ahaṃ sarveṇa pāpmanā vi yakṣmeṇa sam āyuṣā,parted are heaven and earth and paths turned to each quarter of the sky i free etc
 tvaṣṭā duhitre vahatuṃ yunaktītīdaṃ viśvaṃ bhuvanaṃ vi yāti  vy ahaṃ sarveṇa pāpmanā vi yakṣmeṇa sam āyuṣā,tvashtar prepares the bridal of his daughter; then all this world of life departs and leaves him i free etc
 agniḥ prāṇānt saṃ dadhāti candraḥ prāṇena saṃhitaḥ  vy ahaṃ sarveṇa pāpmanā vi yakṣmeṇa sam āyuṣā,agni combines the vital airs the moon is closely joined with breath i free etc
 prāṇena viśvatovīryaṃ devāḥ sūryaṃ sam airayan  vy ahaṃ sarveṇa pāpmanā vi yakṣmeṇa sam āyuṣā,the gods have lifted up with breath the sun whose might is everywhere i free etc
 āyuṣmatām āyuṣkṛtāṃ prāṇena jīva mā mṛthāḥ  vy ahaṃ sarveṇa pāpmanā vi yakṣmeṇa sam āyuṣā,die not live with the breath of those who make and who enjoy long life i free etc
 prāṇena prāṇatāṃ prāṇehaiva bhava mā mṛthāḥ  vy ahaṃ sarveṇa pāpmanā vi yakṣmeṇa sam āyuṣā,die not stay here breathe with the breath of those who draw the vital air i free etc
 ud āyuṣā sam āyuṣod oṣadhīnāṃ rasena  vy ahaṃ sarveṇa pāpmanā vi yakṣmeṇa sam āyuṣā,rise up with life conjoined with life up with the sap of growing plants i free etc
 bhagena mā śāṃśapena sākam indreṇa medinā  kṛṇomi bhaginaṃ māpa drāntv arātayaḥ,with fortune of the sisu tree--with indra as my friend to aid i give myself a happy fate fly and begone malignities
 yena vṛkṣāṁ abhyabhavo bhagena varcasā saha  tena mā bhaginaṃ kṛṇv apa drāntv arātayaḥ,that splendour and felicity wherewith thou hast excelled the trees give me therewith a happy fate fly and begone malignities
 anaḍudbhyas tvaṃ prathamaṃ dhenubhyas tvam arundhati  adhenave vayase śarma yaccha catuṣpade,first o arundhati protect our oxen and milky kine protect each one that is infirm each quadruped that yields no milk
 śarma yacchatv oṣadhiḥ saha devīr arundhatī  karat payasvantaṃ goṣṭham ayakṣmāṁ uta pūruṣān,let the plant give us sheltering aid arundhati allied with gods; avert consumption from our men and make our cow-pen rich in milk
 kṛṣṇaṃ niyānaṃ harayaḥ suparṇā apo vasānā divam ut patanti  ta āvavṛtrant sadanād ṛtasyād id ghṛtena pṛthivīṃ vy ūduḥ,dark the descent; the strong-winged birds are golden they fly aloft to heaven enrobed in waters they have come hither from the seat of order and inundated earth with streams of fatness
 payasvatīḥ kṛṇuthāpa oṣadhīḥ śivā yad ejathā maruto rukmavakṣasaḥ  ūrjaṃ ca tatra sumatiṃ ca pinvata yatrā naro marutaḥ siñcathā madhu,ye make floods rich in milk make plants propitious what time ye stir o golden-breasted maruts pour down your showers of vigorous strength and favour there where ye sprinkle mead o maruts heroes
 ambayo yanty adhvabhir jāmayo adhvarīyatām  pṛñcatīr madhunā payaḥ,along their paths the mothers go sisters of priestly ministrants blending their water with the mead  we bind our foemen with a bond that binds them close and holds them fast their breath and respiration i dissever and their lives from life  whatever god-provoking wrong we priests have done o deities therefrom do ye deliver us adityas by the right of law  from the high firmament yea out of heaven a water-drop with dew on me hath fallen i agni share the merit of the pious with vigour milk and hymns and sacrifices  this thunderbolt shall take its fill of order scare life away and overthrow the kingdom tear necks in pieces rend napes asunder even as the lord of might the neck of vritra  who will prepare the dappled cow good milker neer without calf whom varuna gave atharvan and joying in brihaspatis alliance arrange according to his will her body?  i have extracted from thy sides i have extracted from thy heart i have extracted from thy face the strength and splendour that were thine  homage to prana him who hath dominion oer the universe who hath become the sovran lord of all on whom the whole depends  may these my songs of praise exalt thee lord who hast abun- dant wealth men skilled in holy hymns bright with the hues of fire have sung them with their lauds to thee  o indra from all ancient time rivalless ever and companionless art thou in war thou seekest comradeship  with what help will he come to us wonderful ever-waxing friend with what most mighty company?  here are we sitting east and west and north and south with waters bottle-gourd vessels
 amūr yā upa sūrye yābhir vā sūryaḥ saha  tā no hinvantv adhvaram,may yonder waters near the sun or those wherewith the sun is joined send forth this sacrifice of ours  this bond made keen by indra i have formed with heat of holy zeal securely bind our enemies o agni who are standing here  here set us free o holy ones adityas by the right of law when striving bringing sacrifice we failed to offer it aright  if from a tree that fruit hath fallen downward if aught from air that is vayu where it hath touched my body or my garment thence may the waters drive destruction backward  down down beneath the conquerors let him not rise concealed in earth but lie down-smitten with the bolt  let pain and suffering pass away let cares and curses vanish hence let agni slay the fiendish hags soma kill bags who trouble us  homage o prana to thy roar to thunder-peal and lightning flash homage o prana unto thee what time thou sendest down thy rain  he with his might enhanced by rishis thousand-fold hath like an ocean spread himself his majesty is praised as true at solemn rites his power where holy singers rule  thou findest not the wealthy man to be thy friend those scorn thee who are flown with wine what time thou thunderest and gatherest then thou even as a father art invoked  what genuine and most liberal draught will spirit thee with juice to burst open een strongly-guarded wealth?  here east and west and north and south sit the calves sprinkling curds and oil
 apo devīr upa hvaye yatra gāvaḥ pibanti naḥ  sindhubhyaḥ kartvaṃ haviḥ,i call the waters goddesses hitherward where our cattle drink the streams must share the sacrifice  indra and agni bind them fast soma the king and both the friends may indra girt by maruts make a bond to bind our enemies  with ladle full of fatness we worshippers pouring holy oil striving have failed o all ye gods against our will to offer it  it is a fragrant ointment happy fortune sheen all of gold yea purified from blemish spread over us are all purifications death and malignity shall not subdue us  seek out the fierce oppressor yea strike only the oppressor dead down on the fierce oppressors head strike at full length o thunderbolt  when prana with a thunderous voice shouts his loud message to the plants they straightway are impregnate they conceive and bear abundantly  may indra who in every fight must be invoked be near to us may the most mighty vritra-slayer meet for praise come to libations and to hymns  do thou who art protector us thy friends who praise thee with hundred aids approach us  here east and west and north and south the offering of rice clings on the leaf of the asvattha tree
 kuhūṃ devīṃ sukṛtaṃ vidmanāpasam asmin yajñe suhavā johavīmi  sā no rayiṃ viśvavāraṃ ni yacchād dadātu vīram śatadāyam ukthyam,oft in this sacrifice with favoured cry i call kuhu beneficent goddess skilled in all her works may she vouchsafe us wealth with every boon and give a hero meet for praise who gives a hundred gifts
 agner manve prathamasya pracetasaḥ pāñcajanyasya bahudhā yam indhate  viśoviśaḥ praviśivāṃsam īmahe sa no muñcatv aṃhasaḥ,i fix my heart on wise and ancient agni the five tribes lord in many a place enkindled we seek him who hath entered all our houses may he deliver us from grief and trouble
 yathā havyaṃ vahasi jātavedo yathā yajñaṃ kalpayasi prajānan  evā devebhyaḥ sumatiṃ na ā vaha sa no muñcatv aṃhasaḥ,as thou conveyest offerings jatavedas and fashionest the sacri- fice with knowledge so bear thou to the gods the prayer we utter may he deliver us from grief and trouble
 yāmanyāmann upayuktaṃ vahiṣṭhaṃ karmaṅkarmann ābhagam agnim īḍe  rakṣohaṇaṃ yajñavṛdhaṃ ghṛtāhutaṃ sa no muñcatv aṃhasaḥ,i pray to agni in each act successful employed in every sacrifice the strongest fiend-slayer served with fatness strengthening worship may he deliver us from grief and trouble
 sujātaṃ jātavedasam agniṃ vaiśvānaraṃ vibhum  havyavāhaṃ havāmahe sa no muñcatv aṃhasaḥ,we invoke the oblation-bearer well-born agni jatavedas him vaisvanara almighty may he set us free from trouble
 yena ṛṣayo balam adyotayan yujā yenāsurāṇām ayuvanta māyāḥ  yenāgninā paṇīn indro jigāya sa no muñcatv aṃhasaḥ,with whom as friend the rishis gave their power new splendour with whom they kept aloof the asuras devices agni with whom indra subdued the panis may he deliver us from grief and trouble
 yena devā amṛtam anvavindan yenauṣadhīr madhumatīr akṛṇvan  yena devāḥ svar ābharant sa no muñcatv aṃhasaḥ,through whom the gods discovered life eternal through whom they stored the plants with pleasant juices through whom they brought to men the light of heaven may he deliver us from grief and trouble
 indrasya manmahe śaśvad id asya manmahe vṛtraghna stomā upa mema āguḥ  yo dāśuṣaḥ sukṛto havam eti sa no muñcatv aṃhasaḥ,i think of indra only him for ever fiend-slayer may these lauds of mine come near him he cometh to the pious offerers calling may he deliver us from grief and trouble
 ya ugrīṇām ugrabāhur yayur yo dānavānāṃ balam āruroja  yena jitāḥ sindhavo yena gāvaḥ sa no muñcatv aṃhasaḥ,who with strong arms oercame his strong opponents who broke and crushed the power of the demons who won the rivers and the kine in battle may he deliver us from grief and trouble
 yaś carṣaṇipro vṛṣabhaḥ svarvid yasmai grāvāṇaḥ pravadanti nṛmṇam  yasyādhvaraḥ saptahotā madiṣṭhaḥ sa no muñcatv aṃhasaḥ,ruler of men finder of light the hero the pressing-stones declare his valour master of sweetest sacrifice with seven hotars may he deliver us from grief and trouble
 yasya vaśāsa ṛṣabhāsa ukṣaṇo yasmai mīyante svaravaḥ svarvide  yasmai śukraḥ pavate brahmaśumbhitaḥ sa no muñcatv aṃhasaḥ,the lord of barren cows and bulls and oxen finder of light for whom the posts are planted for whom the bright juice flows cleansed by devotion may he deliver us from grief and trouble
 yasya juṣṭiṃ sominaḥ kāmayante yaṃ havanta iṣumantaṃ gaviṣṭau  yasminn arkaḥ śiśriye yasminn ojaḥ sa no muñcatv aṃhasaḥ,whose favour those desire who offer soma whom arrow-bearer men invoke in battle on whom the hymn depends in whom is power may he deliver us from grief and trouble
 yaḥ prathamaḥ karmakṛtyāya jajñe yasya vīryam prathamasyānubuddham  yenodyato vajro 'bhyāyatāhiṃ sa no muñcatv aṃhasaḥ,why was born first for active operation whose valour as the first hath been awakened who raised his bolt when he encountered ahi may he deliver us from grief and trouble
 prāgnaye vācam īraya vṛṣabhāya kṣitīnām  sa naḥ parṣad ati dviṣaḥ,send forth thy voice to agni to the manly hero of our homes so may he bear us past our foes
 yo rakṣāṃsi nijūrvaty agnis tigmena śociṣā  sa naḥ parṣad ati dviṣaḥ,that agni who with sharpened flame of fire consumes the rakshasas so may he bear us past our foes
 yaḥ parasyāḥ parāvatas tiro dhanvātirocate  sa naḥ parṣad ati dviṣaḥ,he who from distance far remote shineth across the tracts of land may he transport us past our foes
 yo viśvābhi vipaśyati bhuvanā saṃ ca paśyati  sa naḥ parṣad ati dviṣaḥ,he who beholds all creatures who observes them with a careful eye may he transport us past our foes
 ya ime dyāvāpṛthivī jajāna yo drāpim kṛtvā bhuvanāni vaste  yasmin kṣiyanti pradiśaḥ ṣaḍ urvīr yāḥ pataṅgo anu vicākaśīti  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti  udvepaya rohita prakṣiṇīhi brahmajyasya pratimuñca pāśān,he who engendered these the earth and heaven who made the worlds the mantle that he weareth in whom abide the six wide-spreading regions through which the birds keen vision penetrateth this god is wroth offended by the sinner who wrongs the brahman who hath gained this knowledge agitate him o rohita; destroy him entangle in thy snares the bramans tyrant
 yasmād vātā ṛtuthā pavante yasmāt samudrā adhi vikṣaranti  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti  udvepaya rohita prakṣiṇīhi brahmajyasya pratimuñca pāśān,he from whom winds blow pure in ordered season from whom the seas flow forth in all directions this god etc
 yo mārayati prāṇayati yasmāt prāṇanti bhuvanāni viśvā  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti  udvepaya rohita prakṣiṇīhi brahmajyasya pratimuñca pāśān,he who takes life away he who bestows it; from whom comes breath to every living creature this god etc
 yaḥ prāṇena dyāvāpṛthivī tarpayaty apānena samudrasya jaṭharaṃ yaḥ piparti  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti  udvepaya rohita prakṣiṇīhi brahmajyasya pratimuñca pāśān,who with the breath he draws sates earth and heaven with expiration fills the oceans belly this god etc
 yasmin virāṭ parameṣṭhī prajāpatir agnir vaiśvānaraḥ saha paṅktyā śritaḥ  yaḥ parasya prāṇaṃ paramasya teja ādade  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti,in whom viraj prajapati parameshthin agni vaisvanara abide with pankti he who hath taken to himself the breathing of the supreme the vigour of the highest this god etc
 yasmin ṣaḍ urvīḥ pañca diśo adhiśritāś catasra āpo yajñasya trayo 'kṣarāḥ  yo antarā rodasī kruddhaś cakṣuṣaikṣata  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇam jināti,on whom rest six expenses and five regions four waters and three syllables of worship he who hath looked between both spheres in anger this god etc
 yo annādo annapatir babhūva brahmaṇaspatir uta yaḥ  bhūto bhaviṣyat bhuvanasya yas patiḥ  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti,he who consuming food became its master the lord of prayer the regent of devotion the worlds lord present and to be hereafter this god etc
 ahorātrair vimitaṃ triṃśadaṅgaṃ trayodaśaṃ māsaṃ yo nirmimīte  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti  udvepaya rohita prakṣiṇīhi brahmajyasya pratimuñca pāśān,he who metes out the thirteenth month constructed with days and nights containing thirty members this god etc
 kṛṣṇaṃ niyānaṃ harayaḥ suparṇā apo vasānā divam utpatanti  ta āvavṛtrant sadanād ṛtasya  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti,dark the descent; the strong-winged birds are golden they fly aloft to heaven enrobed in waters they have come hither from the seat of order this god etc
 yat te candraṃ kaśyapa rocanāvad yat saṃhitaṃ puṣkalaṃ citrabhānu yasmint sūryā ārpitāḥ sapta sākam  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti  udvepaya rohita prakṣiṇīhi brahmajyasya pratimuñca pāśān,what silver kasyapa thou hast refulgent what brightly-shining lotus-flower collected wherein are gathered seven suns together this god etc
 bṛhad enam anuvaste purastād rathaṃtaraṃ pratigṛhṇāti paścāt  jyotir vasāne sadam apramādam  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti,in front the brihat-saman is his mantle and from behind rathantara enfolds him ever with care robing themselves in splendour this god etc
 bṛhad anyataḥ pakṣa āsīd rathaṃtaram anyataḥ sabale sadhrīcī  yad rohitam ajanayanta devāḥ  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti,one of his wings was brihat and the other rathantarr vigorous with one same purpose what time the gods gave rohita his being this god etc
 sa varuṇaḥ sāyam agnir bhavati sa mitro bhavati prātar udyan  sa savitā bhūtvāntarikṣeṇa yāti sa indro bhūtvā tapati madhyato divam  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti,at evening he is varuna and agni ascending in the morning he is mitra as savitar he moves through airs mid region as indra warms- the heavens from the centre this god etc
 sahasrāhṇyaṃ viyatāv asya pakṣau harer haṃsasya patataḥ svargam  sa devānt sarvān urasy upadadya saṃpaśyan yāti bhuvanāni viśvā  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti,this gold-hued harisas wings soaring to heaven spread oer a thousand days continued journey supporting all the gods upon his bosom he goes his way behol- ding every creature this god etc
 ayaṃ sa devo apsv antaḥ sahasramūlaḥ paruśāko attriḥ  ya idaṃ viśvaṃ bhuvanaṃ jajāna  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti,this is the god who dwells-within the waters the thousand- rooted many-powered atri he who brought all this world into existence this god; etc
 śukraṃ vahanti harayo raghuṣyado devaṃ divi varcasā bhrājamānam  yasyordhvā divaṃ tanvas tapanty arvāṅ suvarṇaiḥ paṭarair vibhāti  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti,with flying feet his tawny coursers carry the bright god through the sky aglow with splendour whose limbs uplifted fire and heat the heavens hither he shines- with beams of golden colour this god etc
 yenādityān haritaḥ saṃvahanti yena yajñena bahavo yanti prajānantaḥ  yad ekaṃ jyotir bahudhā vibhāti  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti,he beside whom his bay steeds bear the adityas by whom as sacrifice go many knowing the sole light shining spread through various places this god etc
 sapta yuñjanti ratham ekacakram eko aśvo vahati saptanāmā  trinābhi cakram ajaram anarvaṃ yatremā viśvā bhuvanādhitasthuḥ  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti,this seven make the one-wheeled chariot ready bearing seven names the single courser draws it the wheel three-naved is sound and undecaying thereon these worlds of life are all dependent this god etc
 aṣṭadhā yukto vahati vahnir ugraḥ pitā devānāṃ janitā matīnām  ṛtasya tantuṃ manasā mimānaḥ sarvā diśaḥ pavate mātariśvā  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti,eight times attached the potent courser draws it sire of the gods father of hymns and praises so matarisvan measuring in spirit the thread of order purifies all regions this god etc
 samyañcaṃ tantuṃ pradiśo 'nu sarvā antar gāyatryām amṛtasya garbhe  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti  udvepaya rohita prakṣiṇīhi brahmajyasya pratimuñca pāśān,the thread that goes through all celestial quarters within the gayatri womb of life eternal this god etc
 nimrucas tisro vyuṣo ha tisras trīṇi rajāṃsi divo aṅga tisraḥ  vidmā te agne tredhā janitraṃ tredhā devānāṃ janimāni vidma  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti,there are the settings three the upward risings three are the- spaces yea and three the heavens we know thy triple place of birth o agni we know the deities triple generations
 vi ya aurṇot pṛthivīṃ jāyamāna ā samudram adadhāt antarikṣe  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti  udvepaya rohita prakṣiṇīhi brahmajyasya pratimuñca pāśān,he who as soon as born laid broad earth open and set the ocean in the airs mid-region this god etc
 tvam agne kratubhiḥ ketubhir hito 'rkaḥ samiddha udarocathā divi  kim abhyārcan marutaḥ pṛśnimātaro yad rohitam ajanayanta devāḥ  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti,thou agni kind with lights and mental powers hast up in heaven shone as the sun enkindled the maruts sons of prisni sang his praises what time the gods gave rohita his being this god etc
 ya ātmadā baladā yasya viśva upāsate praśiṣaṃ yasya devāḥ  yo 'syeśe dvipado yaś catuṣpadaḥ  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti,giver of breath giver of strength and vigour he whose com- mandment all the gods acknowledge he who is lord of this of man and cattle this god etc
 ekapād dvipado bhūyo vicakrame dvipāt tripādam abhyeti paścāt  catuṣpāc cakre dvipadām abhisvare saṃpaśyan paṅktim upatiṣṭhamānaḥ  tasya devasya kruddhasyaitad āgo ya evaṃ vidvāṃsaṃ brāhmaṇaṃ jināti,the single-footed hath outstepped the biped the biped overtakes the triple-footed the quadruped hath wrought when bipeds called him standing and looking on the five collected this god is wroth offended by the sinner that wrongs the brahman who hath gained this knowledge agitate him o rohita; destroy him entangle in thy snares the brahmans tyrant
 ojo 'sy ojo me dāḥ svāhā,power art thou give me power all hail
 saho 'si saho me dāḥ svāhā,might art thou give me might all hail
 balam asi balaṃ dāḥ svāhā,strength art thou give me strength all hail
 āyur asy āyur me dāḥ svāhā,life art thou give me life all hail
 śrotram asi śrotraṃ me dāḥ svāhā,ear art thou give me hearing hail
 indram ahaṃ vaṇijaṃ codayāmi sa na aitu puraetā no astu  nudann arātiṃ paripanthinaṃ mṛgaṃ sa īśāno dhanadā astu mahyam,i stir and animate the merchant indra; may he approach and be our guide and leader chasing ill-will wild beast and highway robber may he who hath the power give me riches
 ye panthāno bahavo devayānā antarā dyāvāpṛthivī saṃcaranti  te mā juṣantāṃ payasā ghṛtena yathā krītvā dhanam āharāṇi,the many paths which gods are wont to travel the paths which go between the earth and heaven may they rejoice with me in milk and fatness that i may make rich profit by my purchase
 idhmenāgna icchamāno ghṛtena juhomi havyaṃ tarase balāya  yāvad īśe brahmaṇā vandamāna imāṃ dhiyaṃ śataseyāya devīm,with fuel agni and with butter longing mine offering i present for strength and conquest; with prayer so far as i have strength adoring--this holy hymn to gain a hundred treasures
