Sanskrit,English
sa na̍ḥ pāvaka dīdi̱vo 'gne̍ de̱vām̐ i̱hā va̍ha   upa̍ ya̱jñaṁ ha̱viś ca̍ naḥ  1a hi̱ra̱ṇya̱ga̱rbhaḥ sam a̍varta̱tāgre̍ bhū̱tasya̍ jā̱taḥ pati̱r eka̍ āsīt  1c sa dā̍dhāra pṛthi̱vīṁ dyām u̱temāṁ kasmai̍ de̱vāya̍ ha̱viṣā̍ vidhema  2a ya ā̍tma̱dā ba̍la̱dā yasya̱ viśva̍ u̱pāsa̍te pra̱śiṣa̱ṁ yasya̍ de̱vāḥ  2c yasya̍ chā̱yāmṛta̱ṁ yasya̍ mṛ̱tyuḥ kasmai̍ de̱vāya̍ ha̱viṣā̍ vidhema  3a yaḥ prā̍ṇa̱to ni̍miṣa̱to ma̍hi̱tvaika̱ id rājā̱ jaga̍to ba̱bhūva̍  3c ya īśe̍ a̱sya dvi̱pada̱ś catu̍ṣpada̱ḥ kasmai̍ de̱vāya̍ ha̱viṣā̍ vidhema  4a yasye̱me hi̱mava̍nto mahi̱tvā yasya̍ samu̱draṁ ra̱sayā̍ sa̱hāhuḥ  4c yasye̱māḥ pra̱diśo̱ yasya̍ bā̱hū kasmai̍ de̱vāya̍ ha̱viṣā̍ vidhema  5a yena̱ dyaur u̱grā pṛ̍thi̱vī ca̍ dṛ̱ḻhā yena̱ sva̍ḥ stabhi̱taṁ yena̱ nāka̍ḥ  5c yo a̱ntari̍kṣe̱ raja̍so vi̱māna̱ḥ kasmai̍ de̱vāya̍ ha̱viṣā̍ vidhema  6a yaṁ kranda̍sī̱ ava̍sā tastabhā̱ne a̱bhy aikṣe̍tā̱m mana̍sā̱ reja̍māne  6c yatrādhi̱ sūra̱ udi̍to vi̱bhāti̱ kasmai̍ de̱vāya̍ ha̱viṣā̍ vidhema  7a āpo̍ ha̱ yad bṛ̍ha̱tīr viśva̱m āya̱n garbha̱ṁ dadhā̍nā ja̱naya̍ntīr a̱gnim  7c tato̍ de̱vānā̱ṁ sam a̍varta̱tāsu̱r eka̱ḥ kasmai̍ de̱vāya̍ ha̱viṣā̍ vidhema  8a yaś ci̱d āpo̍ mahi̱nā pa̱ryapa̍śya̱d dakṣa̱ṁ dadhā̍nā ja̱naya̍ntīr ya̱jñam  8c yo de̱veṣv adhi̍ de̱va eka̱ āsī̱t kasmai̍ de̱vāya̍ ha̱viṣā̍ vidhema  9a mā no̍ hiṁsīj jani̱tā yaḥ pṛ̍thi̱vyā yo vā̱ diva̍ṁ sa̱tyadha̍rmā ja̱jāna̍  9c yaś cā̱paś ca̱ndrā bṛ̍ha̱tīr ja̱jāna̱ kasmai̍ de̱vāya̍ ha̱viṣā̍ vidhema,such agni purifier bright bring hither to our sacrifice  to our oblation bring the gods
sa na̱ḥ stavā̍na̱ ā bha̍ra gāya̱treṇa̱ navī̍yasā   ra̱yiṁ vī̱rava̍tī̱m iṣa̍m  0a prajā̍pate̱ na tvad e̱tāny a̱nyo viśvā̍ jā̱tāni̱ pari̱ tā ba̍bhūva  0c yatkā̍mās te juhu̱mas tan no̍ astu va̱yaṁ syā̍ma̱ pata̍yo rayī̱ṇām,so lauded by our newest song of praise bring opulence to us  and food with heroes for our sons
agne̍ śu̱kreṇa̍ śo̱ciṣā̱ viśvā̍bhir de̱vahū̍tibhiḥ   i̱maṁ stoma̍ṁ juṣasva naḥ,o agni by effulgent flame by all invokings of the gods  show pleasure in this laud of ours
ā tvā̍ vahantu̱ hara̍yo̱ vṛṣa̍ṇa̱ṁ soma̍pītaye   indra̍ tvā̱ sūra̍cakṣasaḥ,let thy bay steeds bring thee the strong hither to drink the soma draught  those indra who are bright as suns
i̱mā dhā̱nā ghṛ̍ta̱snuvo̱ harī̍ i̱hopa̍ vakṣataḥ   indra̍ṁ su̱khata̍me̱ rathe̍,here are the grains bedewed with oil hither let the bay coursers bring  indra upon his easiest car
indra̍m prā̱tar ha̍vāmaha̱ indra̍m praya̱ty a̍dhva̱re   indra̱ṁ soma̍sya pī̱taye̍,indra at early morn we call indra in course of sacrifice  indra to drink the soma juice
upa̍ naḥ su̱tam ā ga̍hi̱ hari̍bhir indra ke̱śibhi̍ḥ   su̱te hi tvā̱ havā̍mahe,come hither with thy longmaned steeds o indra to he draught we pour  we call thee when the juice is shed
semaṁ na̱ḥ stoma̱m ā ga̱hy upe̱daṁ sava̍naṁ su̱tam   gau̱ro na tṛ̍ṣi̱taḥ pi̍ba,come thou to this our song of praise to the libation poured for thee  drink of it like a stag athirst
i̱me somā̍sa̱ inda̍vaḥ su̱tāso̱ adhi̍ ba̱rhiṣi̍   tām̐ i̍ndra̱ saha̍se piba,here are the drops of soma juice expressed on sacred grass thereof  drink indra to increase thy might
a̱yaṁ te̱ stomo̍ agri̱yo hṛ̍di̱spṛg a̍stu̱ śaṁta̍maḥ   athā̱ soma̍ṁ su̱tam pi̍ba,welcome to thee be this our hymn reaching thy heart most excellent  then drink the soma juice expressed
viśva̱m it sava̍naṁ su̱tam indro̱ madā̍ya gacchati   vṛ̱tra̱hā soma̍pītaye,to every draught of pressedout juice indra the vṛtraslayer comes  to drink the soma for delight
semaṁ na̱ḥ kāma̱m ā pṛ̍ṇa̱ gobhi̱r aśvai̍ḥ śatakrato   stavā̍ma tvā svā̱dhya̍ḥ,fulfil o śatakratu all our wish with horses and with kine  with holy thoughts we sing thy praise
indra̱ soma̱m piba̍ ṛ̱tunā tvā̍ viśa̱ntv inda̍vaḥ   ma̱tsa̱rāsa̱s tado̍kasaḥ,o indra drink the soma juice with ṛtu; let the cheering drops  sink deep within which settle there
maru̍ta̱ḥ piba̍ta ṛ̱tunā̍ po̱trād ya̱jñam pu̍nītana   yū̱yaṁ hi ṣṭhā su̍dānavaḥ,drink from the purifier's cup maruts with ṛtu; sanctify  the rite for ye give precious gifts
a̱bhi ya̱jñaṁ gṛ̍ṇīhi no̱ gnāvo̱ neṣṭa̱ḥ piba̍ ṛ̱tunā̍   tvaṁ hi ra̍tna̱dhā asi̍,o neṣṭar with thy dame accept our sacrifice; with ṛtu drink  for thou art he who giveth wealth
agne̍ de̱vām̐ i̱hā va̍ha sā̱dayā̱ yoni̍ṣu tri̱ṣu   pari̍ bhūṣa̱ piba̍ ṛ̱tunā̍,bring the gods agni; in the three appointed places set them down  surround them and with ṛtu drink
brāhma̍ṇād indra̱ rādha̍sa̱ḥ pibā̱ soma̍m ṛ̱tūm̐r anu̍   taved dhi sa̱khyam astṛ̍tam,drink soma after the ṛtus from the brāhmaṇa's bounty undissolved  o indra is thy friendship's bond
yu̱vaṁ dakṣa̍ṁ dhṛtavrata̱ mitrā̍varuṇa dū̱ḻabha̍m   ṛ̱tunā̍ ya̱jñam ā̍śāthe,mitra varuṇa ye whose ways are firma power that none deceives  with ṛtu ye have reached the rite
dra̱vi̱ṇo̱dā dravi̍ṇaso̱ grāva̍hastāso adhva̱re   ya̱jñeṣu̍ de̱vam ī̍ḻate,the somapressers fain for wealth praise the wealthgiver in the rite  in sacrifices praise the god
dra̱vi̱ṇo̱dā da̍dātu no̱ vasū̍ni̱ yāni̍ śṛṇvi̱re   de̱veṣu̱ tā va̍nāmahe,may the wealthgiver grant to us riches that shall be far renowned  these things we gain among the gods
dra̱vi̱ṇo̱dāḥ pi̍pīṣati ju̱hota̱ pra ca̍ tiṣṭhata   ne̱ṣṭrād ṛ̱tubhi̍r iṣyata,he with the ṛtu fain would drink wealthgiver from the neṣṭar's bowl  haste give your offering and depart
yat tvā̍ tu̱rīya̍m ṛ̱tubhi̱r dravi̍ṇodo̱ yajā̍mahe   adha̍ smā no da̱dir bha̍va  1a śra̱ddhayā̱gniḥ sam i̍dhyate śra̱ddhayā̍ hūyate ha̱viḥ  1c śra̱ddhām bhaga̍sya mū̱rdhani̱ vaca̱sā ve̍dayāmasi  2a pri̱yaṁ śra̍ddhe̱ dada̍taḥ pri̱yaṁ śra̍ddhe̱ didā̍sataḥ  2c pri̱yam bho̱jeṣu̱ yajva̍sv i̱dam ma̍ udi̱taṁ kṛ̍dhi  3a yathā̍ de̱vā asu̍reṣu śra̱ddhām u̱greṣu̍ cakri̱re  3c e̱vam bho̱jeṣu̱ yajva̍sv a̱smāka̍m udi̱taṁ kṛ̍dhi  4a śra̱ddhāṁ de̱vā yaja̍mānā vā̱yugo̍pā̱ upā̍sate  4c śra̱ddhāṁ hṛ̍da̱yya1̱̍yākū̍tyā śra̱ddhayā̍ vindate̱ vasu̍  5a śra̱ddhām prā̱tar ha̍vāmahe śra̱ddhām ma̱dhyaṁdi̍na̱m pari̍  5c śra̱ddhāṁ sūrya̍sya ni̱mruci̱ śraddhe̱ śrad dhā̍paye̱ha na̍ḥ,as we this fourth time wealthgiver honour thee with the ṛtus be  a giver bountiful to us
aśvi̍nā̱ piba̍ta̱m madhu̱ dīdya̍gnī śucivratā   ṛ̱tunā̍ yajñavāhasā,drink ye the meath o aśvins bright with flames whose acts are pure who with  ṛtus accept the sacrifice
gārha̍patyena santya ṛ̱tunā̍ yajña̱nīr a̍si   de̱vān de̍vaya̱te ya̍ja,with ṛtu through the housefire thou kind giver guidest sacrifice  worship the gods for the pious man
indrā̱varu̍ṇayor a̱haṁ sa̱mrājo̱r ava̱ ā vṛ̍ṇe   tā no̍ mṛḻāta ī̱dṛśe̍,i crave help from the imperial lords from indravaruṇa; may they  both favour one of us like me
gantā̍rā̱ hi stho 'va̍se̱ hava̱ṁ vipra̍sya̱ māva̍taḥ   dha̱rtārā̍ carṣaṇī̱nām,guardians of men ye ever come with ready succour at the call  of every singer such as i
a̱nu̱kā̱maṁ ta̍rpayethā̱m indrā̍varuṇa rā̱ya ā   tā vā̱ṁ nedi̍ṣṭham īmahe,sate you according to your wish o indravaruṇa with wealth  fain would we have you nearest us
yu̱vāku̱ hi śacī̍nāṁ yu̱vāku̍ sumatī̱nām   bhū̱yāma̍ vāja̱dāvnā̍m,may we be sharers of the powers sharers of the benevolence  of you who give strength bounteously
indra̍ḥ sahasra̱dāvnā̱ṁ varu̍ṇa̱ḥ śaṁsyā̍nām   kratu̍r bhavaty u̱kthya̍ḥ,indra and varuṇa among givers of thousands meet for praise  are powers who merit highest laud
tayo̱r id ava̍sā va̱yaṁ sa̱nema̱ ni ca̍ dhīmahi   syād u̱ta pra̱reca̍nam,through their protection may we gain great store of wealth and heap it up  enough and still to spare be ours
indrā̍varuṇa vām a̱haṁ hu̱ve ci̱trāya̱ rādha̍se   a̱smān su ji̱gyuṣa̍s kṛtam,o indravaruṇa on you for wealth in many a form i call  still keep ye us victorious
indrā̍varuṇa̱ nū nu vā̱ṁ siṣā̍santīṣu dhī̱ṣv ā   a̱smabhya̱ṁ śarma̍ yacchatam,o indravaruṇa through our songs that seek to win you to ourselves  give us at once your sheltering help
pra vā̍m aśnotu suṣṭu̱tir indrā̍varuṇa̱ yāṁ hu̱ve   yām ṛ̱dhāthe̍ sa̱dhastu̍tim,o indravaruṇa to you may fair praise which i offer come  joint eulogy which ye dignify
aibhi̍r agne̱ duvo̱ giro̱ viśve̍bhi̱ḥ soma̍pītaye   de̱vebhi̍r yāhi̱ yakṣi̍ ca,to drink the soma agni come to our service and our songs  with all these gods; and worship them
ā tvā̱ kaṇvā̍ ahūṣata gṛ̱ṇanti̍ vipra te̱ dhiya̍ḥ   de̱vebhi̍r agna̱ ā ga̍hi,the kaṇvas have invoked thee; they o singer sing thee songs of praise  agni come hither with the gods;
i̱ndra̱vā̱yū bṛha̱spati̍m mi̱trāgnim pū̱ṣaṇa̱m bhaga̍m   ā̱di̱tyān māru̍taṁ ga̱ṇam,indra vāyu bṛhaspati mitra agni pūṣan bhaga  ādityas and the marut host
pra vo̍ bhriyanta̱ inda̍vo matsa̱rā mā̍dayi̱ṣṇava̍ḥ   dra̱psā madhva̍ś camū̱ṣada̍ḥ,for you these juices are poured forth that gladden and exhilarate  the meathdrops resting in the cup
īḻa̍te̱ tvām a̍va̱syava̱ḥ kaṇvā̍so vṛ̱ktaba̍rhiṣaḥ   ha̱viṣma̍nto ara̱ṁkṛta̍ḥ,the sons of kaṇva fain for help adore thee having strewn the grass  with offerings and all things prepared
ghṛ̱tapṛ̍ṣṭhā mano̱yujo̱ ye tvā̱ vaha̍nti̱ vahna̍yaḥ   ā de̱vān soma̍pītaye,let the swift steeds who carry thee thoughtyoked and dropping holy oil  bring the gods to the soma draught
tān yaja̍trām̐ ṛtā̱vṛdho 'gne̱ patnī̍vatas kṛdhi   madhva̍ḥ sujihva pāyaya,adored the strengtheners of law unite them agni with their dames  make them drink meath o bright of tongue
ye yaja̍trā̱ ya īḍyā̱s te te̍ pibantu ji̱hvayā̍   madho̍r agne̱ vaṣa̍ṭkṛti,let them o agni who deserve worship and praise drink with thy tongue  the meath in solemn sacrifice
ākī̱ṁ sūrya̍sya roca̱nād viśvā̍n de̱vām̐ u̍ṣa̱rbudha̍ḥ   vipro̱ hote̱ha va̍kṣati,away from the sun's realm of light the wise invoking priest shall bring  all gods awaking with the dawn
